2019-04-05T11:40:52.894 CONM2314 requested to add an item(CON1234) to/from Concordia, the result: success, response is: Item added successfully.
2019-04-05T11:46:36.092 CONM2314 requested to add an item(CON9999) to/from Concordia, the result: success, response is: Item added successfully.
2019-04-05T11:46:48.801 CONM2314 requested to remove an item(CON9999) to/from Concordia, the result: success, response is: Item decreased successfully.
2019-04-05T11:46:54.272 CONM2314 requested to remove an item(CON9999) to/from Concordia, the result: success, response is: Item removed successfully.
2019-04-10T22:13:06.407 CONM2314 requested to add an item(CON6231) to/from Concordia, the result: success, response is: Item added successfully.
2019-04-10T22:13:13.602 CONM2314 requested to add an item(CON6651) to/from Concordia, the result: success, response is: Item added successfully.
2019-04-10T22:17:17.820 MONU2314 requested to borrow an item(CON6231) to/from Concordia, the result: success, response is: Borrow Successfully.
2019-04-10T22:17:58.435 MONU2314 requested to return an item(CON6231) to/from Concordia, the result: success, response is: Item returned.
2019-04-10T22:17:58.436 MONU2314 requested to borrow an item(CON6651) to/from Concordia, the result: success, response is: Borrow Successfully.
2019-04-10T22:23:23.548 CONM2314 requested to add an item(CON6231) to/from Concordia, the result: success, response is: Item added successfully.
2019-04-10T22:23:29.072 CONM2314 requested to add an item(CON6651) to/from Concordia, the result: success, response is: Item added successfully.
2019-04-10T22:23:57.005 MONU2314 requested to borrow an item(CON6231) to/from Concordia, the result: success, response is: Borrow Successfully.
2019-04-10T22:24:13.088 MONU2314 requested to return an item(CON6231) to/from Concordia, the result: success, response is: Item returned.
2019-04-10T22:24:13.090 MONU2314 requested to borrow an item(CON6651) to/from Concordia, the result: success, response is: Borrow Successfully.
2019-04-11T01:10:28.238 MCGU2314 requested to return an item(CON9999) to/from Concordia, the result: fail, response is: Wrong item ID..
2019-04-11T01:28:08.161 CONM2314 requested to add an item(CON6231) to/from Concordia, the result: success, response is: Item added successfully.
2019-04-11T01:28:13.333 CONM2314 requested to add an item(CON6651) to/from Concordia, the result: success, response is: Item added successfully.
2019-04-11T01:28:29.727 MONU2314 requested to borrow an item(CON6231) to/from Concordia, the result: success, response is: Borrow Successfully.
2019-04-11T01:28:43.733 MONU2314 requested to return an item(CON6231) to/from Concordia, the result: success, response is: Item returned.
2019-04-11T01:28:43.734 MONU2314 requested to borrow an item(CON6651) to/from Concordia, the result: success, response is: Borrow Successfully.
2019-04-11T01:29:11.363 MCGU2314 requested to borrow an item(CON6651) to/from Concordia, the result: success, response is: Borrow Successfully.
2019-04-11T01:35:38.458 CONU9994 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.462 CONU9996 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.468 CONU9999 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.469 CONU9990 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.470 CONU9993 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.473 CONU9998 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.475 CONU9995 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.477 CONU9992 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.479 CONU9997 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.483 CONU9991 requested to borrow an item(CON1234) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.484 CONU9999 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.485 CONU9999 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:35:38.487 CONU9996 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.488 CONU9996 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:35:38.488 CONU9994 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.489 CONU9994 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:35:38.492 CONU9993 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.492 CONU9993 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:35:38.494 CONU9990 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.495 CONU9990 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:35:38.496 CONU9998 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.497 CONU9998 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:35:38.498 CONU9995 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.498 CONU9995 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:35:38.503 CONU9997 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.503 CONU9997 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:35:38.508 CONU9992 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.508 CONU9992 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
2019-04-11T01:35:38.510 CONU9991 requested to borrow an item(CON6758) to/from Concordia, the result: success, response is: Borrowed successfully.
2019-04-11T01:35:38.511 CONU9991 requested to return an item(CON1234) to/from Concordia, the result: success, response is: Item returned..
